	501_1136.21	447_1125.06	419_1145.49	525_1144.63	avg	CatSel	CatCombSel
lin_cont4+lin_cont13	101	107	104	141	113.25		
cat72_cat2	141	110	93	108	113		
lin_cont6*lin_cont7	138	109	100	102	112.25		
cat50_cat103	112	112	114	110	112		
cat1_cat81	123	128	92	102	111.25		
lin_cont4/lin_cont11	138	100	107	100	111.25		
lin_cont4*lin_cont9	96	109	101	138	111		
cat1_cat103	128	107	101	107	110.75		
lin_cont11+lin_cont13	77	129	119	116	110.25		
lin_cont1*lin_cont7	178	81	87	93	109.75		
lin_cont2-lin_cont3	171	91	78	99	109.75		
lin_cont4-lin_cont11	120	100	110	108	109.5		
cat73_cat103	127	94	98	118	109.25		
lin_cont10-lin_cont13	130	109	102	96	109.25		
cat6_cat2	95	121	96	124	109		
lin_cont3/lin_cont11	140	100	81	114	108.75		
lin_cont8+lin_cont10	113	129	83	110	108.75		
lin_cont8/lin_cont9	116	100	105	113	108.5		
lin_cont4-lin_cont9	103	108	105	116	108		
lin_cont7-lin_cont14	392	7	17	11	106.75		
lin_cont8/lin_cont11	156	89	87	95	106.75		
lin_cont1+lin_cont4	84	119	97	126	106.5		
lin_cont4+lin_cont12	88	108	114	116	106.5		
lin_cont1-lin_cont5	108	98	121	98	106.25		
lin_cont3-lin_cont14	99	98	106	122	106.25		
lin_cont3+lin_cont13	154	94	83	94	106.25		
lin_cont12-lin_cont13	169	85	88	82	106		
cat80_cat111	118	95	104	102	104.75		
lin_cont2*lin_cont4	151	86	85	91	103.25		
lin_cont8+lin_cont12	88	126	84	115	103.25		
cat84	132	146	122	11	102.75		
lin_cont3+lin_cont12	48	126	104	130	102		
lin_cont8/lin_cont10	77	112	92	125	101.5		
cat80_cat103	107	87	77	133	101		
lin_cont8+lin_cont11	120	96	81	103	100		
lin_cont5-lin_cont11	118	98	71	112	99.75		
lin_cont2+lin_cont3	161	88	72	76	99.25		
lin_cont5/lin_cont10	96	85	95	120	99		
lin_cont2+lin_cont4	80	96	107	108	97.75		
lin_cont8*lin_cont10	73	112	105	101	97.75		
cat1_cat72	87	94	105	100	96.5		
cat1_cat79	105	85	99	97	96.5		
cat103_cat2	102	94	89	101	96.5		
lin_cont1-lin_cont4	89	98	90	109	96.5		
lin_cont13+lin_cont14	169	85	73	58	96.25		
lin_cont5*lin_cont8	151	65	76	88	95		
lin_cont4*lin_cont10	101	98	81	97	94.25		
cat39	89	95	92	93	92.25		
lin_cont6/lin_cont9	327	11	12	14	91		
cat81_cat103	85	96	101	80	90.5		
lin_cont1+lin_cont14	191	50	62	56	89.75		
cat52	98	77	90	92	89.25		
cat9_cat90	4	7	8	338	89.25		1
lin_cont2+lin_cont12	45	95	98	119	89.25		
lin_cont4*lin_cont11	113	64	84	96	89.25		
lin_cont7/lin_cont9	340	7	4	5	89		
cat73_cat111	100	67	88	100	88.75		
lin_cont8*lin_cont12	84	91	76	102	88.25		
lin_cont3-lin_cont12	51	104	89	106	87.5		
lin_cont8*lin_cont11	107	101	59	81	87		
lin_cont4+lin_cont8	97	84	77	89	86.75		
lin_cont4*lin_cont8	127	67	76	76	86.5		
lin_cont1*lin_cont4	109	74	77	85	86.25		
lin_cont3*lin_cont4	136	77	62	69	86		
lin_cont1-lin_cont6	88	80	99	74	85.25		
lin_cont2-lin_cont12	43	97	108	93	85.25		
lin_cont4+lin_cont10	120	73	72	76	85.25		
lin_cont1*lin_cont12	52	92	84	112	85		
lin_cont10+lin_cont13	67	95	92	86	85		
lin_cont2+lin_cont9	75	71	98	96	85		
lin_cont6*lin_cont10	81	85	63	111	85		
lin_cont9+lin_cont14	156	0	0	184	85		
lin_cont5*lin_cont12	73	86	95	85	84.75		
lin_cont8-lin_cont9	140	53	68	78	84.75		
lin_cont2+lin_cont13	97	70	80	90	84.25		
lin_cont5*lin_cont9	78	86	89	83	84		
cat111_cat9	80	91	65	99	83.75		
lin_cont3+lin_cont7	16	106	100	110	83		
lin_cont3-lin_cont8	123	63	63	82	82.75		
cat8	83	85	74	86	82		
lin_cont5*lin_cont10	59	86	86	96	81.75		
lin_cont10*lin_cont12	62	83	83	97	81.25		
lin_cont11/lin_cont14	284	17	11	12	81		
cat76_cat111	83	81	77	82	80.75		1
lin_cont6*lin_cont8	111	60	86	66	80.75		
lin_cont3-lin_cont13	99	72	69	82	80.5		
lin_cont5-lin_cont9	143	54	51	72	80		
lin_cont8*lin_cont9	60	88	69	103	80		
lin_cont6-lin_cont9	59	84	71	102	79		
cat76_cat103	78	79	71	87	78.75		
cat72_cat9	84	83	73	73	78.25		
lin_cont10+lin_cont12	68	83	80	81	78		
lin_cont3-lin_cont7	10	119	92	90	77.75		
cat6_cat79	78	81	60	91	77.5		
lin_cont3+lin_cont10	119	69	60	62	77.5		
lin_cont3+lin_cont8	122	66	50	72	77.5		
cat103_cat9	90	55	76	88	77.25		
lin_cont12+lin_cont13	59	98	71	80	77		
lin_cont4+lin_cont11	78	77	81	70	76.5		
lin_cont6*lin_cont12	52	73	88	93	76.5		
lin_cont9-lin_cont14	147	54	38	65	76		
lin_cont9*lin_cont12	58	71	84	87	75		
cat108	83	67	74	75	74.75		
cat79_cat81	72	63	57	105	74.25		
cont3	100	84	86	27	74.25		
lin_cont4+lin_cont7	18	87	112	79	74		
lin_cont5/lin_cont11	94	64	60	76	73.5		
cat111_cat13	84	74	66	69	73.25		1
lin_cont1+lin_cont3	62	76	75	80	73.25		
lin_cont6*lin_cont11	87	61	71	74	73.25		
lin_cont1+lin_cont7	44	75	74	97	72.5		
lin_cont2-lin_cont8	78	63	67	80	72		
cat79_cat72	79	63	73	71	71.5		
cat80_cat72	68	75	64	77	71		
lin_cont5-lin_cont14	147	44	40	53	71		
lin_cont2-lin_cont13	102	53	57	71	70.75		
lin_cont1+lin_cont12	46	88	63	85	70.5		
cat1_cat50	72	61	70	78	70.25		
cat72_cat81	62	77	62	80	70.25		
lin_cont1*lin_cont5	70	64	71	75	70		
cat79_cat12	71	58	70	79	69.5		1
cat81_cat90	7	1	3	267	69.5		
lin_cont1-lin_cont3	63	51	64	95	68.25		
lin_cont1*lin_cont10	67	63	70	73	68.25		
cat81_cat111	64	70	77	61	68		
lin_cont4-lin_cont5	190	23	25	32	67.5		
cont13	68	61	56	84	67.25		
cat80_cat1	63	68	78	57	66.5		
lin_cont10-lin_cont14	101	62	49	53	66.25		
lin_cont1+lin_cont5	111	51	45	56	65.75		
lin_cont11*lin_cont12	8	93	73	89	65.75		
lin_cont12-lin_cont14	90	53	57	63	65.75		
cat103_cat11	66	65	71	59	65.25		1
cat73_cat79	68	73	60	59	65		
lin_cont5*lin_cont11	71	61	57	71	65		
cat94	75	66	60	57	64.5		
lin_cont1+lin_cont2	79	42	70	67	64.5		
lin_cont10+lin_cont14	107	54	42	52	63.75		
lin_cont2-lin_cont10	80	55	45	75	63.75		
cat6_cat72	69	61	52	71	63.25		
cat102	64	63	66	57	62.5		
cat103_cat4	70	63	57	60	62.5		1
cat73_cat50	61	60	59	70	62.5		
lin_cont1-lin_cont7	45	41	39	124	62.25		
lin_cont1*lin_cont11	59	64	69	57	62.25		
cat103_cat12	54	58	59	77	62		
cat111_cat87	65	66	63	53	61.75		1
cat6_cat87	63	58	44	82	61.75		
cat111_cat12	60	61	58	66	61.25		
lin_cont11+lin_cont12	12	83	74	76	61.25		
cat111_cat38	65	54	62	62	60.75		1
lin_cont1-lin_cont2	54	65	52	72	60.75		
cat6_cat9	72	67	47	56	60.5		
cat111_cat36	82	47	48	64	60.25		1
cat50_cat2	75	46	59	60	60		
lin_cont3-lin_cont10	89	45	45	60	59.75		
lin_cont2+lin_cont8	63	59	56	60	59.5		
cat103_cat87	58	60	60	59	59.25		
cat25_cat2	58	52	57	70	59.25		1
lin_cont2+lin_cont11	76	52	60	47	58.75		
lin_cont4+lin_cont5	169	27	15	24	58.75		
lin_cont6-lin_cont7	140	25	21	47	58.25		
cat103_cat23	60	43	61	68	58		1
cat73_cat72	53	47	48	83	57.75		
cat72_cat36	56	53	55	66	57.5		
lin_cont2+lin_cont10	80	60	43	47	57.5		
lin_cont9+lin_cont12	39	59	59	73	57.5		
lin_cont3+lin_cont11	54	62	49	63	57		
cat80_cat2	62	36	49	78	56.25		
lin_cont1+lin_cont6	41	66	62	54	55.75		
lin_cont2-lin_cont11	69	53	43	58	55.75		
lin_cont5+lin_cont14	102	35	33	50	55		
lin_cont1+lin_cont11	59	53	51	53	54		
lin_cont2-lin_cont7	0	62	68	83	53.25		
cat103_cat10	64	50	40	58	53		1
lin_cont1+lin_cont10	44	55	53	60	53		
cat50_cat72	61	45	51	54	52.75		
cat72_cat87	66	50	41	54	52.75		
cat1_cat9	59	49	43	58	52.25		
lin_cont1+lin_cont8	81	48	31	49	52.25		
cat79_cat2	52	48	48	60	52		
cat80_cat87	57	52	34	65	52		
cat111_cat11	39	60	44	61	51		
cat76_cat79	55	56	41	52	51		
lin_cont6+lin_cont7	116	29	22	37	51		
cat72_cat10	44	40	53	66	50.75		
cat80_cat73	53	56	42	52	50.75		
cat72_cat12	50	48	54	50	50.5		
cat77	47	51	54	50	50.5		
cat79_cat87	52	58	49	43	50.5		
lin_cont2+lin_cont7	12	62	65	63	50.5		
cat95	70	63	53	15	50.25		
cat6_cat73	62	37	39	61	49.75		
cat72_cat23	50	47	53	48	49.5		
lin_cont1*lin_cont8	71	34	43	50	49.5		
lin_cont3+lin_cont5	157	10	16	15	49.5		
cat12_cat38	39	53	55	49	49		
cat36_cat23	46	60	45	45	49		
cat6_cat36	53	40	46	57	49		
cat50_cat9	54	34	48	59	48.75		
cat109	45	49	37	63	48.5		
